StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,SrcPkts
2021/04/30 02:10:34.628529,0.646711,tcp,168.187.165.253,53190,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/04/30 02:11:10.243420,0.000026,tcp,71.6.146.186,23183,   ->,159.65.26.180,37777,S_RA,16,16,2,112,58,1
2021/04/30 02:11:14.076331,0.053992,tcp,45.143.200.34,55710,   ->,159.65.26.180,10596,SR_RA,0,0,3,166,112,2
2021/04/30 02:11:34.012135,0.058657,tcp,45.145.67.74,40689,   ->,159.65.26.180,6071,SR_RA,0,0,3,166,112,2
2021/04/30 02:11:34.433717,0.685705,tcp,180.243.214.135,64289,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/04/30 02:11:41.191727,0.000038,tcp,103.99.0.23,55077,   ->,159.65.26.180,25,S_RA,0,0,2,110,56,1
2021/04/30 02:11:45.553163,0.012517,tcp,45.144.214.16,56031,   ->,159.65.26.180,4920,SR_RA,0,0,3,166,112,2
2021/04/30 02:11:49.545217,0.000032,tcp,162.142.125.67,28248,   ->,159.65.26.180,8003,S_RA,0,0,2,112,58,1
2021/04/30 02:11:49.797977,0.372281,tcp,202.99.199.15,49775,   ->,159.65.26.180,8088,SR_RA,0,0,3,166,112,2
2021/04/30 02:12:15.780426,0.000025,tcp,167.248.133.18,11531,   ->,159.65.26.180,88,S_RA,0,0,2,112,58,1
2021/04/30 02:12:16.597475,0.000027,tcp,125.64.94.138,56950,   ->,159.65.26.180,14443,S_RA,0,0,2,110,56,1
2021/04/30 02:12:46.357317,0.009499,tcp,185.156.73.91,54814,   ->,159.65.26.180,8933,SR_RA,0,0,3,166,112,2
2021/04/30 02:12:50.770477,0.000026,tcp,115.55.30.85,18186,   ->,159.65.26.180,23,S_RA,0,0,2,110,56,1
2021/04/30 02:12:59.472431,0.000033,tcp,66.57.151.234,64648,   ->,159.65.26.180,445,S_RA,0,0,2,120,66,1
2021/04/30 02:13:00.068358,0.000030,tcp,66.57.151.234,19070,   ->,159.65.26.180,445,S_RA,0,0,2,120,66,1
2021/04/30 02:13:29.982531,0.013534,tcp,92.63.197.86,57714,   ->,159.65.26.180,6283,SR_RA,0,0,3,166,112,2
2021/04/30 02:13:46.082474,0.045629,tcp,45.143.200.34,55710,   ->,159.65.26.180,7584,SR_RA,0,0,3,166,112,2
2021/04/30 02:13:49.725699,0.000026,tcp,213.79.68.131,26256,   ->,159.65.26.180,445,S_RA,0,0,2,120,66,1
2021/04/30 02:13:50.287154,0.000030,tcp,213.79.68.131,26257,   ->,159.65.26.180,445,S_RA,0,0,2,120,66,1
2021/04/30 02:13:57.142679,0.000032,tcp,205.185.117.39,46386,   ->,159.65.26.180,5984,S_RA,0,0,2,112,58,1
2021/04/30 02:14:04.651690,0.011719,tcp,92.63.197.88,54828,   ->,159.65.26.180,9999,SR_RA,0,0,3,166,112,2
2021/04/30 02:14:09.732137,0.000029,tcp,80.82.77.240,64344,   ->,159.65.26.180,1241,S_RA,0,0,2,110,56,1
2021/04/30 02:14:17.430839,0.000034,udp,193.107.216.163,5088,   ->,159.65.26.180,5060,INT,0,,1,462,462,1
2021/04/30 02:14:20.120191,0.000032,tcp,206.81.3.58,51819,   ->,159.65.26.180,1085,S_RA,0,0,2,110,56,1
2021/04/30 02:14:33.159497,0.047165,tcp,45.143.200.34,55710,   ->,159.65.26.180,7571,SR_RA,0,0,3,166,112,2
2021/04/30 02:14:39.111550,0.000029,tcp,120.55.60.114,41097,   ->,159.65.26.180,8088,S_RA,0,0,2,110,56,1
2021/04/30 02:14:42.796917,0.046169,tcp,45.143.200.34,55710,   ->,159.65.26.180,10948,SR_RA,0,0,3,166,112,2
2021/04/30 02:14:51.769437,0.010733,tcp,92.63.197.58,57104,   ->,159.65.26.180,5775,SR_RA,0,0,3,166,112,2
2021/04/30 02:15:00.482002,0.070700,tcp,167.99.243.100,41283,   ->,159.65.26.180,8089,SR_RA,0,0,3,166,112,2
2021/04/30 02:15:04.955115,0.000026,tcp,185.200.118.53,49629,   ->,159.65.26.180,1723,S_RA,0,0,2,110,56,1
2021/04/30 02:15:10.161487,0.014424,tcp,92.63.197.86,57714,   ->,159.65.26.180,6238,SR_RA,0,0,3,166,112,2
2021/04/30 02:15:14.202649,0.010040,tcp,185.156.73.91,54814,   ->,159.65.26.180,6789,SR_RA,0,0,3,166,112,2
2021/04/30 02:15:16.270856,0.064712,tcp,45.143.200.34,55710,   ->,159.65.26.180,8609,SR_RA,0,0,3,166,112,2
2021/04/30 02:15:22.125092,0.000027,tcp,71.6.232.4,46932,   ->,159.65.26.180,21,S_RA,0,0,2,110,56,1
2021/04/30 02:15:28.078026,0.000028,tcp,119.45.19.153,41213,   ->,159.65.26.180,2376,S_RA,0,0,2,110,56,1
2021/04/30 02:15:48.862300,0.000034,tcp,173.254.196.210,23246,   ->,159.65.26.180,445,S_RA,0,0,2,116,62,1
2021/04/30 02:15:55.826682,0.000025,tcp,218.57.129.37,3144,   ->,159.65.26.180,5901,S_RA,8,8,2,116,62,1
2021/04/30 02:16:03.661879,0.000026,tcp,192.241.214.211,60066,   ->,159.65.26.180,4840,S_RA,0,0,2,110,56,1
2021/04/30 02:16:04.874621,0.000029,icmp,47.246.50.132,0x0008,  <->,159.65.26.180,0x0400,ECO,0,0,2,196,98,1
2021/04/30 02:16:05.874316,0.000031,icmp,47.246.50.132,0x0008,  <->,159.65.26.180,0x0400,ECO,0,0,2,196,98,1
2021/04/30 02:16:06.874535,0.000031,icmp,47.246.50.132,0x0008,  <->,159.65.26.180,0x0400,ECO,0,0,2,196,98,1
2021/04/30 02:16:07.664686,0.047009,tcp,103.145.13.243,56734,   ->,159.65.26.180,50802,SR_RA,40,40,3,166,112,2
2021/04/30 02:16:07.874703,0.000026,icmp,47.246.50.132,0x0008,  <->,159.65.26.180,0x0400,ECO,0,0,2,196,98,1
2021/04/30 02:16:08.874882,0.000028,icmp,47.246.50.132,0x0008,  <->,159.65.26.180,0x0400,ECO,0,0,2,196,98,1
